URL,Route source,HTTP status,Canonical URL,Page type,Public or private,Indexable or noindex,Included in sitemap,Publisher content present,Content quality,Author identified,Reviewer identified,Source citations present,AdSense eligible after approval,Policy risk,Technical risk,Recommended action,Final action completed
https://www.manishvaghasiya.com/,frontend/src/pages/home/HomePage.tsx,200,https://www.manishvaghasiya.com/,Home,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Self/Social Profiles,Yes,None,Low,Keep and index,Verified
https://www.manishvaghasiya.com/about,frontend/src/pages/about/AboutPage.tsx,200,https://www.manishvaghasiya.com/about,About,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Self/Bio,Yes,None,Low,Keep and index,Updated bio text
https://www.manishvaghasiya.com/photos,frontend/src/pages/photos/PhotosPage.tsx,200,https://www.manishvaghasiya.com/photos,Gallery,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Event Media,Yes,None,Low,Keep and index,Verified
https://www.manishvaghasiya.com/topics,frontend/src/pages/topics/TopicsPage.tsx,200,https://www.manishvaghasiya.com/topics,Topic Directory,Public,Indexable,Yes,Yes,High,Editorial Team,N/A,Internal Taxonomy,Yes,None,Low,Keep and index,Cleaned copy
https://www.manishvaghasiya.com/topics/parenting,frontend/src/pages/topics/TopicHubPage.tsx,200,https://www.manishvaghasiya.com/topics/parenting,Topic Hub,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Curated Articles,Yes,None,Low,Keep and index,Updated hub UI
https://www.manishvaghasiya.com/topics/family-relationships,frontend/src/pages/topics/TopicHubPage.tsx,200,https://www.manishvaghasiya.com/topics/family-relationships,Topic Hub,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Curated Articles,Yes,None,Low,Keep and index,Updated hub UI
https://www.manishvaghasiya.com/topics/students-and-career-guidance,frontend/src/pages/topics/TopicHubPage.tsx,200,https://www.manishvaghasiya.com/topics/students-and-career-guidance,Topic Hub,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Curated Articles,Yes,None,Low,Keep and index,Updated hub UI
https://www.manishvaghasiya.com/blog,frontend/src/pages/blog/BlogPage.tsx,200,https://www.manishvaghasiya.com/blog,Blog Listing,Public,Indexable,Yes,Yes,High,Editorial Team,N/A,Internal Articles,Yes,None,Low,Keep and index,Verified
https://www.manishvaghasiya.com/blog/how-parents-can-better-understand-teenagers,frontend/src/content/editorial.ts,200,https://www.manishvaghasiya.com/blog/how-parents-can-better-understand-teenagers,Article,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Seminars & Practical Experience,Yes,None,Low,Keep and index,Verified
https://www.manishvaghasiya.com/blog/why-family-communication-breaks-down,frontend/src/content/editorial.ts,200,https://www.manishvaghasiya.com/blog/why-family-communication-breaks-down,Article,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Seminars & Practical Experience,Yes,None,Low,Keep and index,Verified
https://www.manishvaghasiya.com/blog/how-students-can-build-confidence-after-failure,frontend/src/content/editorial.ts,200,https://www.manishvaghasiya.com/blog/how-students-can-build-confidence-after-failure,Article,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Seminars & Practical Experience,Yes,None,Low,Keep and index,Verified
https://www.manishvaghasiya.com/blog/father-and-son-relationship-problems-and-solutions,frontend/src/content/editorial.ts,200,https://www.manishvaghasiya.com/blog/father-and-son-relationship-problems-and-solutions,Article,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Seminars & Practical Experience,Yes,None,Low,Improve and index,Added full body sections & FAQs
https://www.manishvaghasiya.com/blog/mother-child-emotional-bonding-habits,frontend/src/content/editorial.ts,200,https://www.manishvaghasiya.com/blog/mother-child-emotional-bonding-habits,Article,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Seminars & Practical Experience,Yes,None,Low,Improve and index,Added full body sections & FAQs
https://www.manishvaghasiya.com/blog/how-to-reduce-stress-before-exams,frontend/src/content/editorial.ts,200,https://www.manishvaghasiya.com/blog/how-to-reduce-stress-before-exams,Article,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Seminars & Practical Experience,Yes,None,Low,Improve and index,Added full body sections & FAQs
https://www.manishvaghasiya.com/blog/career-confusion-after-10th-and-12th,frontend/src/content/editorial.ts,200,https://www.manishvaghasiya.com/blog/career-confusion-after-10th-and-12th,Article,Public,Indexable,Yes,Yes,High,Manish Vaghasiya,N/A,Seminars & Practical Experience,Yes,None,Low,Improve and index,Added full body sections & FAQs
